id,path,split,species_src,species_tgt,label,gen_family,seed,ref_id,source
pixabay_cat_003905,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003905.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004683,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004683.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004246,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004246.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002982,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002982.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003836,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003836.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003008,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003008.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004393,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004393.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002974,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002974.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004431,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004431.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004581,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004581.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002793,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002793.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004072,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004072.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004830,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004830.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004448,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004448.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004688,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004688.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003518,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003518.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003947,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003947.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004497,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004497.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004400,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004400.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003601,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003601.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003155,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003155.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003710,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003710.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003776,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003776.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003376,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003376.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003360,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003360.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004223,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004223.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_004225,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_004225.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_002920,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_002920.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003460,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003460.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003458,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003458.jpg,train,cat,cat,real,none,,,afhq
pixabay_cat_003681,/content/drive/MyDrive/stargan-v2/data/afhq_all/train/cat/pixabay_cat_003681.jpg,train,cat,cat,real,none,,,afhq
