path,label,km_k50
/content/stargan-v2/data/combined_balanced/train/real/pixabay_wild_000168.jpg,0,17
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_003092.jpg,0,5
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_003758.jpg,0,25
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_002690.jpg,0,4
/content/stargan-v2/data/combined_balanced/train/real/flickr_wild_001124.jpg,0,17
/content/stargan-v2/data/combined_balanced/train/real/flickr_wild_000945.jpg,0,21
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_003354.jpg,0,24
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_003661.jpg,0,38
/content/stargan-v2/data/combined_balanced/train/real/flickr_wild_002833.jpg,0,17
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_000164.jpg,0,30
/content/stargan-v2/data/combined_balanced/train/real/flickr_wild_002620.jpg,0,24
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_002928.jpg,0,24
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_003398.jpg,0,47
/content/stargan-v2/data/combined_balanced/train/real/flickr_cat_000079.jpg,0,12
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_004225.jpg,0,23
/content/stargan-v2/data/combined_balanced/train/real/flickr_dog_000139.jpg,0,8
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_004422.jpg,0,37
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_003185.jpg,0,48
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_003705.jpg,0,40
/content/stargan-v2/data/combined_balanced/train/real/flickr_wild_003383.jpg,0,37
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_001778.jpg,0,35
/content/stargan-v2/data/combined_balanced/train/real/flickr_wild_003353.jpg,0,40
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_003030.jpg,0,23
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_001736.jpg,0,10
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_002905.jpg,0,4
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_002106.jpg,0,19
/content/stargan-v2/data/combined_balanced/train/real/pixabay_cat_001840.jpg,0,44
/content/stargan-v2/data/combined_balanced/train/real/pixabay_dog_002278.jpg,0,18
/content/stargan-v2/data/combined_balanced/train/real/pixabay_wild_000532.jpg,0,24
/content/stargan-v2/data/combined_balanced/train/real/pixabay_wild_000048.jpg,0,12
