row_0,row_1,fake_ratio
"(-0.481, -0.168]","(-0.418, -0.153]",0.5591054313099042
"(-0.481, -0.168]","(-0.153, -0.0267]",0.5496828752642706
"(-0.481, -0.168]","(-0.0267, 0.131]",0.49217002237136465
"(-0.481, -0.168]","(0.131, 0.691]",0.45454545454545453
"(-0.168, -0.0211]","(-0.418, -0.153]",0.5727699530516432
"(-0.168, -0.0211]","(-0.153, -0.0267]",0.5516129032258065
"(-0.168, -0.0211]","(-0.0267, 0.131]",0.47044917257683216
"(-0.168, -0.0211]","(0.131, 0.691]",0.4325581395348837
"(-0.0211, 0.161]","(-0.418, -0.153]",0.6175548589341693
"(-0.0211, 0.161]","(-0.153, -0.0267]",0.564748201438849
"(-0.0211, 0.161]","(-0.0267, 0.131]",0.4271186440677966
"(-0.0211, 0.161]","(0.131, 0.691]",0.44214876033057854
"(0.161, 0.693]","(-0.418, -0.153]",0.583804143126177
"(0.161, 0.693]","(-0.153, -0.0267]",0.5047619047619047
"(0.161, 0.693]","(-0.0267, 0.131]",0.44549763033175355
"(0.161, 0.693]","(0.131, 0.691]",0.38557993730407525
